station_id,lat,lng
421189,-33.72500784,149.8646464
A5030501.1,-35.12322108,138.6829369
229111A,-37.675075,145.805751
RE852,-38.61220726,143.6814482
PI_357925.1,-16.1135755,128.732855
627.1,-41.28327778,146.2491667
594.1,-41.63352778,146.2216111
648.1,-42.7775,145.9827778
508.1,-42.0825,146.7722222
742.1,-41.72583333,145.1366667
416030,-29.3854,151.243
171.1,-42.09944445,146.4880556
PI_316582.1,-33.289139,116.155162
229400A,-37.4763,145.153
294.1,-41.86805556,145.6161111
2507.1,-41.77222222,147.0420278
229412A,-37.722791,145.008009
229412B,-37.723056,145.009807
231222A,-37.61,144.295
231223A,-37.63333333,144.4916667
231223A,-37.6339,144.491
RE961,-38.44253754,144.0671554
136024A,-25.35111111,151.9195
136024B,-25.355121,151.919634
71,-27.30033951,152.1229327
122010A,-20.36680556,148.3823056
416315A,-28.97840556,151.4639944
PINE,-36.77836,142.34736
410853,-35.45588889,149.0783889
A4260575,-35.4522,139.3501
141013A,-26.596007,152.91015
213240.3,-33.820135,150.8922225
206042,-30.40000556,151.73205
PI_427.1,-34.8991375,117.3856875
ODSS_18327_WSLAHD.1,-34.8991375,117.3856875
ODSS_51192_WSLAHD.1,-34.8991375,117.3856875
A4260902,-34.34995762,139.6155508
A4260518,-34.07720506,139.9321373
A4260516,-34.18796957,140.3590967
A4260514,-34.34218011,140.5771656
A4260512,-34.18872837,140.7665993
A4260510,-33.99668166,140.8874114
A4260508,-34.06818921,141.2449606
A4260506,-34.12813613,141.3990856
A4260501,-34.19163481,141.5978642
408218A,-36.95059195,143.3156778
41010966,-34.3779,143.7827
580.1,-42.50722222,146.6463333
658.1,-41.73555556,145.5322222
562.1,-41.73141667,146.2163611
SR.RBR1TK01,-42.81,147.36
LFR5.LFSTK01,-42.81,147.23
SOR2.SOR2TK01,-42.83,147.44
SRR4.SRR4VP11,-42.84,147.35
SRR6.SRR6TK01,-42.77,147.27
SRR9.SRR9TK11,-42.79,147.28
CSR4.CSR4TK03,-42.89,147.43
CSR3.CSR3TK01,-42.86,147.37
CSR6.CSR6TK08,-42.903,147.493
ROCKLANDS,-37.24297,141.97901
9573,-19.40985495,146.7374221
532020A,-19.41166667,146.7352778
118104A,-19.41166667,146.7352778
HDR2.HDR2TK01,-42.883,147.305
HDR6.HDR6TK06,-42.86,147.291
HMD1.HMD1DS01,-42.91589702,147.2929694
LFD1.LFD1DS01,-42.67621667,146.6252722
LFR2.LFR2TK02,-42.86,147.28
LFR6.LFR6TK01,-42.836,147.255
LFR9.LFR9TK10,-42.872,147.298
LFSTE.LFSTE21,-42.88,147.3
NLD1DS.NLD1DS01LE01,-42.72462983,147.4084086
NLR1.NLR1TK01,-42.584,147.224
NLST.NLR2TK06,-42.669,147.38
NLUP.NLR3TK05,-42.58,147.458
RBD1.RBD1DS01,-42.8086215,147.3340472
WDR2.WDR2TK01,-42.864,147.325
WDR24.WDR2TK04,-42.864,147.323
WR.WRSTK07,-42.911,147.292
WRD1.WRD1DS01,-42.8086215,147.3340472
HDR1.HDR1TK01,-42.885,147.316
HBR4.HBR4TK01,-42.876,147.279
GOD3.GOD3DS09,-42.84934954,147.2547143
GOD2.GOD2DS07,-42.86,147.25
GOD1.GOD1DS01,-42.85389405,147.2351495
FGD1.FGD1DS01,-42.84086556,147.3726604
CSR9.CSR9TK09,-42.861,147.458
CSR5.CSR5TK04,-42.861,147.458
CRR1T.CRR1TK01,-42.852,147.453
SRR3.SRR3TK01,-42.722,147.221
520.1,-42.00916667,146.7388889
229405A,-37.8367,145.4167
D30,-32.7424497,152.1501028
D22,-32.797996,151.7884522
A5050516.1,-34.68962869,138.8569352
A5050500.1,-34.70962638,138.9188573
419080,-30.5776,150.6997
407334A,-37.24958,143.64047
229607A,-37.6724,145.279
408217A,-37.103981,143.402094
ODSS_18326_WSLAHD.1,-32.884366,116.0295775
ODSS_61742_WSLAHD.1,-32.884366,116.0295775
PI_1930.1,-32.884366,116.0295775
SANDHURST,-36.84562,144.244158
ODSS_56581_WSLAHD.1,-34.2788675,116.04553
570016A,-35.3372,149.2289
D146,-32.6599,151.7432
M350,-32.6599,151.7432
ODSS_57568_WSLAHD.1,-32.385145,116.07399
PI_238185.1,-32.459706,116.152275
ODSS_45534_WSLAHD.1,-32.459706,116.152275
ODSS_21139_WSLAHD.1,-32.459706,116.152275
PI_230046.1,-32.385145,116.07399
136205A,-26.165709,151.81449
143305A,-27.0394235,152.5689775
PI_13881.1,-32.6760495,116.100205
SAWSPARRS.1,-34.70002874,138.8655376
