STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
29058,94337,YJLC,JULIA CREEK AIRPORT,QLD,OPEN,30/8/2001,,-20.6672,141.7214,122.5,123.4,123.1
29063,94266,YNTN,NORMANTON AIRPORT,QLD,OPEN,10/4/2001,,-17.6872,141.0733,18.418,18.9,22.3
29077,94260,YBKT,BURKETOWN AIRPORT,QLD,OPEN,10/10/2001,,-17.7483,139.5356,5.699,6.4,6.4
29127,94332,YBMA,MOUNT ISA AERO,QLD,OPEN,20/9/1996,,-20.6778,139.4875,340.3,340.9,341.7
29141,94335,YCCY,CLONCURRY AIRPORT,QLD,OPEN,22/3/2001,,-20.6664,140.505,186,186.8,187.8
29167,94261,YCNY,CENTURY MINE,QLD,OPEN,4/4/2003,,-18.7569,138.7056,126.8,127,
30022,94343,YHUG,HUGHENDEN AIRPORT,QLD,OPEN,21/2/2001,,-20.8192,144.2333,316.4,317.3,317.9
30124,94274,YGTN,GEORGETOWN AIRPORT,QLD,OPEN,31/5/2004,,-18.3039,143.5306,301.77,302.5,303
30161,94341,YRMD,RICHMOND AIRPORT,QLD,OPEN,19/2/1998,,-20.7017,143.1167,206.3,207,206
31011,94287,YBCS,CAIRNS AERO,QLD,OPEN,8/12/1992,,-16.8736,145.7458,2.22,8.3,3
31037,94285,LWI,LOW ISLES LIGHTHOUSE,QLD,OPEN,20/3/1998,,-16.3842,145.5592,2.9,3.9,
31192,,,GREEN ISLAND,QLD,CLOSED,1/10/1992,16/6/2010,-16.7614,145.9719,3,3,
31209,95283,YCKN,COOKTOWN AIRPORT,QLD,OPEN,16/6/2000,,-15.4461,145.1861,4.8,5.7,7.9
31210,95286,YMBA,MAREEBA AIRPORT,QLD,OPEN,9/6/2000,,-17.0672,145.4283,471.934,473.1,475.5
31213,94188,YCFL,CAPE FLATTERY,QLD,OPEN,18/6/2003,,-14.9672,145.3106,18.5,19.3,
32037,95292,SJTN,SOUTH JOHNSTONE EXP STN,QLD,OPEN,13/10/1999,,-17.6053,145.9972,18.3,18.6,
32040,94294,YBTL,TOWNSVILLE AERO,QLD,OPEN,8/12/1994,,-19.2483,146.7661,4.34,9.1,5.5
32141,94295,YLDA,LUCINDA POINT,QLD,CLOSED,1/6/1980,,-18.5203,146.3861,10,10,
32182,94297,CAPE,CAPE FERGUSON NTC AWS,SA,OPEN,12/9/1991,,-19.2774,147.0586,0,6.8,
33002,95295,AYR,AYR DPI RESEARCH STN,QLD,OPEN,9/10/1998,,-19.6169,147.3758,17,,
33045,95367,YBMK,MACKAY AERO,QLD,OPEN,28/9/1995,,-21.1706,149.1794,4.7,5,5.8
33106,94368,YBHM,HAMILTON ISLAND AIRPORT,QLD,OPEN,15/3/2002,,-20.3658,148.9536,58.66,59.4,4.6
33119,94367,MKY,MACKAY M.O,QLD,OPEN,18/10/1995,,-21.1172,149.2169,30.264,36.3,
33195,95370,YWIS,WILLIAMSON,QLD,OPEN,31/5/2005,,-22.4703,150.1786,27.6,28.1,27.6
33208,95298,ROSS,ROSSLYN BAY NTC AWS,SA,OPEN,19/6/1992,,-23.161,150.7901,0,2.6,
33210,95369,STLW,ST LAWRENCE,QLD,OPEN,9/8/2004,,-22.3472,149.5242,9.19,9.9,
33247,94365,YBPN,PROSERPINE AIRPORT,QLD,OPEN,22/3/1996,,-20.4925,148.555,19.7,20.3,21
33294,94373,YPN,YEPPOON THE ESPLANADE,QLD,OPEN,22/11/1993,,-23.1364,150.7506,5.5,5.8,
33295,95296,ALVA,ALVA BEACH,QLD,OPEN,5/2/1997,,-19.4569,147.4833,7.5,7.8,
33298,,DWD,DOTSWOOD,QLD,CLOSED,22/1/1996,20/5/2005,-19.6264,146.2939,292.5,293.1,
33307,95293,WOS,WOOLSHED,QLD,OPEN,4/2/1998,,-19.4167,146.5364,556.04,556.5,
33308,94370,YSMH,SAMUEL HILL AERO,QLD,OPEN,3/11/2000,,-22.7433,150.6578,31,31.5,32
33317,99367,HAYP,HAY POINT,QLD,OPEN,4/11/2005,,-21.2894,149.3008,7,,
34035,94397,YMRB,MORANBAH AIRPORT,QLD,OPEN,26/2/2012,,-22.0644,148.0761,232.2,232.9,234.7
35124,94395,YCMT,CLERMONT AIRPORT,QLD,OPEN,14/4/2010,,-22.7756,147.6217,270.273,270.9,271.8
35129,94396,YRLL,ROLLESTON AIRPORT,QLD,OPEN,27/5/2010,,-24.4617,148.6264,219.45,220.2,223
35139,94399,LOCH,LOCHINGTON,QLD,OPEN,21/10/2010,,-23.9424,147.525,267.19,267.9,
35264,94363,YEML,EMERALD AIRPORT,QLD,OPEN,15/10/1998,,-23.5694,148.1756,189.4,190.1,190.2
36031,94346,YLRE,LONGREACH AERO,QLD,OPEN,31/5/1996,,-23.4372,144.2769,192.2,192.5,191.1
36034,95351,YBCK,BLACKALL AIRPORT,QLD,OPEN,8/3/2001,,-24.4303,145.4306,281.3,282,282.9
37010,94255,CMWL,CAMOOWEAL TOWNSHIP,QLD,OPEN,11/11/1997,,-19.9225,138.1214,231.2,231.5,
37034,94336,YTMO,THE MONUMENT AIRPORT,QLD,OPEN,9/12/2000,,-21.8125,139.9267,288.4,289.1,280
37036,94338,YTEE,TREPELL AIRPORT,QLD,OPEN,21/8/2001,,-21.84,140.8925,266.2,267.1,271.2
37039,94342,YWTN,WINTON AIRPORT,QLD,OPEN,17/10/2002,,-22.3617,143.0836,192.2,193.2,194.5
38026,95482,YBDV,BIRDSVILLE AIRPORT,QLD,OPEN,27/6/2000,,-25.8975,139.3472,46.6,47,46.6
39059,94388,LTT,LADY ELLIOT ISLAND,QLD,OPEN,3/12/1996,,-24.1116,152.7161,3.6,4.2,3.6
39066,95543,YGAY,GAYNDAH AIRPORT,QLD,OPEN,24/1/2003,,-25.6167,151.6156,110.9,111.6,112.5
39083,94374,YBRK,ROCKHAMPTON AERO,QLD,OPEN,1/4/1993,,-23.3753,150.4775,10.4,15.1,10.4
39089,94376,YTNG,THANGOOL AIRPORT,QLD,OPEN,1/10/2009,,-24.4935,150.5709,193.1,193.8,196.3
39122,94386,YHRN,HERON ISLAND RES STN,QLD,OPEN,6/11/1998,,-23.4422,151.9131,3.3,5.7,
39123,94380,GLAX,GLADSTONE RADAR,QLD,OPEN,1/7/1991,,-23.8553,151.2628,74.5,75.2,
39128,94387,YBUD,BUNDABERG AERO,QLD,OPEN,19/12/1997,,-24.9069,152.323,30.82,31.5,32.6
39304,,,HERON ISLAND,QLD,CLOSED,1/6/1980,5/11/1998,-23.4483,151.9178,8,8,
39322,94378,RUIS,RUNDLE ISLAND,QLD,OPEN,13/10/1994,,-23.5293,151.2763,19.8,20.4,
39326,94381,YGLA,GLADSTONE AIRPORT,QLD,OPEN,22/10/1993,,-23.8697,151.2214,16.6,16.9,19.5
